E, cm-1	Sigma_00, cm2	
9.3135986132e+04	3.1980418566e-14
9.3136677844e+04	3.2746633280e-14
9.3137377565e+04	3.2537661278e-14
9.3138085389e+04	3.2322085047e-14
9.3138801409e+04	3.2099852167e-14
9.3139525720e+04	3.1871292582e-14
9.3140258418e+04	3.1637118073e-14
9.3140999601e+04	3.1398375977e-14
9.3141749366e+04	3.1156360412e-14
9.3142507813e+04	3.1957772520e-14
9.3143275042e+04	3.1734311505e-14
9.3144051156e+04	3.1506277135e-14
9.3144836256e+04	3.1274718309e-14
9.3145630447e+04	3.2018731011e-14
9.3146433835e+04	3.1806519387e-14
9.3147246526e+04	3.1589297547e-14
9.3148068627e+04	3.1367812697e-14
9.3148900247e+04	3.2061132526e-14
9.3149741497e+04	3.1857989662e-14
9.3150592489e+04	3.1648922376e-14
9.3151453334e+04	3.1434480273e-14
9.3152324148e+04	3.2081059928e-14
9.3153205045e+04	3.1882976637e-14
9.3154096142e+04	3.1678052454e-14
9.3154997558e+04	3.1466842457e-14
9.3155909412e+04	3.1250307493e-14
9.3156831824e+04	3.1029705858e-14
9.3157764918e+04	3.0806447335e-14
9.3158708816e+04	3.0581931893e-14
9.3159663644e+04	3.1245147644e-14
9.3160629529e+04	3.1026252072e-14
9.3161606598e+04	3.0805187867e-14
9.3162594981e+04	3.0583527863e-14
9.3163594808e+04	3.1209470979e-14
9.3164606213e+04	3.0994872392e-14
9.3165629330e+04	3.0778970675e-14
9.3166664294e+04	3.1364403513e-14
9.3167711242e+04	3.1158634237e-14
9.3168770314e+04	3.0950503640e-14
9.3169841648e+04	3.0741410215e-14
9.3170925388e+04	3.1300879798e-14
9.3172021678e+04	3.1100733288e-14
9.3173130662e+04	3.0897957060e-14
9.3174252487e+04	3.0693777354e-14
9.3175387302e+04	3.0489285139e-14
9.3176535258e+04	3.0285284546e-14
9.3177696507e+04	3.0082186561e-14
9.3178871202e+04	3.0625450441e-14
9.3180059499e+04	3.0421762775e-14
9.3181261557e+04	3.0218331493e-14
9.3182477533e+04	3.0731493665e-14
9.3183707590e+04	3.0528252213e-14
9.3184951890e+04	3.0325142184e-14
9.3186210599e+04	3.0810672379e-14
9.3187483882e+04	3.0609785809e-14
9.3188771910e+04	3.0409216438e-14
9.3190074852e+04	3.0210203552e-14
9.3191392882e+04	3.0674476129e-14
9.3192726174e+04	3.0478577990e-14
9.3194074904e+04	3.0284161690e-14
9.3195439252e+04	3.0091913703e-14
9.3196819399e+04	2.9901885979e-14
9.3198215527e+04	2.9713492951e-14
9.3199627821e+04	3.0158129474e-14
9.3201056469e+04	2.9970540537e-14
9.3202501660e+04	2.9783880841e-14
9.3203963585e+04	3.0206700683e-14
9.3205442439e+04	3.0019095433e-14
9.3206938417e+04	2.9831999666e-14
9.3208451717e+04	3.0232872419e-14
9.3209982541e+04	3.0044571902e-14
9.3211531091e+04	2.9857193430e-14
9.3213097572e+04	3.0238370275e-14
9.3214682192e+04	3.0051217254e-14
9.3216285161e+04	2.9865917110e-14
9.3217906692e+04	2.9682319514e-14
9.3219546999e+04	2.9499643908e-14
9.3221206300e+04	2.9866626912e-14
9.3222884815e+04	2.9687520803e-14
9.3224582766e+04	2.9509249029e-14
9.3226300379e+04	2.9861907709e-14
9.3228037880e+04	2.9685859617e-14
9.3229795501e+04	2.9509716598e-14
9.3231573474e+04	2.9846442015e-14
9.3233372035e+04	2.9670692390e-14
9.3235191423e+04	2.9494178785e-14
9.3237031878e+04	2.9814224555e-14
9.3238893644e+04	2.9638010106e-14
9.3240776969e+04	2.9461409654e-14
9.3242682101e+04	2.9283341307e-14
9.3244609294e+04	2.9102632408e-14
9.3246558803e+04	2.9418888249e-14
9.3248530886e+04	2.9244159970e-14
9.3250525804e+04	2.9067140372e-14
9.3252543823e+04	2.9374611269e-14
9.3254585209e+04	2.9203588558e-14
9.3256650234e+04	2.9494622671e-14
9.3258739170e+04	2.9327262886e-14
9.3260852295e+04	2.9156967478e-14
9.3262989889e+04	2.9436921318e-14
9.3265152235e+04	2.9268652462e-14
9.3267339620e+04	2.9096568363e-14
9.3269552333e+04	2.8919510358e-14
9.3271790669e+04	2.8737093478e-14
9.3274054923e+04	2.9023802726e-14
9.3276345396e+04	2.8847122400e-14
9.3278662391e+04	2.9118463330e-14
9.3281006216e+04	2.8948340545e-14
9.3283377182e+04	2.9206421663e-14
9.3285775601e+04	2.9042149104e-14
9.3288201794e+04	2.8873589275e-14
9.3290656080e+04	2.9127107549e-14
9.3293138785e+04	2.8962028711e-14
9.3295650239e+04	2.8791058405e-14
9.3298190774e+04	2.8614013616e-14
9.3300760727e+04	2.8868940768e-14
9.3303360439e+04	2.8694559888e-14
9.3305990253e+04	2.8515391679e-14
9.3308650520e+04	2.8765742585e-14
9.3311341591e+04	2.8591303020e-14
9.3314063824e+04	2.8831243514e-14
9.3316817578e+04	2.8662055598e-14
9.3319603219e+04	2.8891807366e-14
9.3322421117e+04	2.8726464034e-14
9.3325271644e+04	2.8555593771e-14
9.3328155179e+04	2.8380091368e-14
9.3331072103e+04	2.8611015591e-14
9.3334022804e+04	2.8435604985e-14
9.3337007672e+04	2.8257079867e-14
9.3340027104e+04	2.8480960340e-14
9.3343081499e+04	2.8304347413e-14
9.3346171262e+04	2.8520549207e-14
9.3349296803e+04	2.8347479824e-14
9.3352458536e+04	2.8556966515e-14
9.3355656880e+04	2.8386923108e-14
9.3358892259e+04	2.8214866565e-14
9.3362165102e+04	2.8042240494e-14
9.3365475843e+04	2.8246971699e-14
9.3368824921e+04	2.8073334931e-14
9.3372212779e+04	2.8269215114e-14
9.3375639866e+04	2.8095812763e-14
9.3379106637e+04	2.8285183364e-14
9.3382613552e+04	2.8114320511e-14
9.3386161075e+04	2.8299172420e-14
9.3389749676e+04	2.8131431142e-14
9.3393379831e+04	2.7964901957e-14
9.3397052021e+04	2.7799626829e-14
9.3400766734e+04	2.7978257591e-14
9.3404524460e+04	2.8150444093e-14
9.3408325699e+04	2.7983324816e-14
9.3412170955e+04	2.8148813571e-14
9.3416060736e+04	2.7983003865e-14
9.3419995559e+04	2.8144365447e-14
9.3423975945e+04	2.7981753645e-14
9.3428002422e+04	2.7821448643e-14
9.3432075523e+04	2.7662222051e-14
9.3436195788e+04	2.7820159995e-14
9.3440363764e+04	2.7660624930e-14
9.3444580002e+04	2.7811665951e-14
9.3448845063e+04	2.7956697006e-14
9.3453159510e+04	2.7796936542e-14
9.3457523917e+04	2.7937735459e-14
9.3461938861e+04	2.7780495217e-14
9.3466404927e+04	2.7624100115e-14
9.3470922708e+04	2.7466030672e-14
9.3475492803e+04	2.7607258320e-14
9.3480115817e+04	2.7740786130e-14
9.3484792362e+04	2.7583557741e-14
9.3489523060e+04	2.7711602314e-14
9.3494308537e+04	2.7554354699e-14
9.3499149426e+04	2.7679557608e-14
9.3504046371e+04	2.7524233223e-14
9.3509000019e+04	2.7365981515e-14
9.3514011028e+04	2.7492958668e-14
9.3519080062e+04	2.7333727822e-14
9.3524207793e+04	2.7456210777e-14
9.3529394899e+04	2.7571352394e-14
9.3534642070e+04	2.7414171863e-14
9.3539950000e+04	2.7527468797e-14
9.3545319393e+04	2.7371468870e-14
9.3550750961e+04	2.7211555265e-14
9.3556245423e+04	2.7328041504e-14
9.3561803508e+04	2.7437750137e-14
9.3567425952e+04	2.7279268672e-14
9.3573113502e+04	2.7385423702e-14
9.3578866910e+04	2.7486008842e-14
9.3584686940e+04	2.7330716403e-14
9.3590574362e+04	2.7171742639e-14
9.3596529957e+04	2.7275836111e-14
9.3602554515e+04	2.7116047652e-14
9.3608648834e+04	2.7216393953e-14
9.3614813722e+04	2.7311301965e-14
9.3621049996e+04	2.7151361839e-14
9.3627358483e+04	2.7244828921e-14
9.3633740018e+04	2.7085868565e-14
9.3640195448e+04	2.6926868042e-14
9.3646725629e+04	2.7019779563e-14
9.3653331425e+04	2.7108779640e-14
9.3660013713e+04	2.6948988615e-14
9.3666773379e+04	2.7034391378e-14
9.3673611317e+04	2.7117685724e-14
9.3680528435e+04	2.6960734626e-14
9.3687525650e+04	2.6806126866e-14
9.3694603888e+04	2.6887125924e-14
9.3701764089e+04	2.6964913765e-14
9.3709007200e+04	2.6809782985e-14
9.3716334183e+04	2.6884384178e-14
9.3723746009e+04	2.6957675867e-14
9.3731243659e+04	2.6805863016e-14
9.3738828129e+04	2.6656108130e-14
9.3746500422e+04	2.6726175863e-14
9.3754261556e+04	2.6793000944e-14
9.3762112560e+04	2.6857657338e-14
9.3770054474e+04	2.6921068774e-14
9.3778088351e+04	2.6772298677e-14
9.3786215256e+04	2.6625034570e-14
9.3794436266e+04	2.6686222802e-14
9.3802752471e+04	2.6744250556e-14
9.3811164973e+04	2.6596611830e-14
9.3819674888e+04	2.6654083676e-14
9.3828283342e+04	2.6709723065e-14
9.3836991478e+04	2.6563897462e-14
9.3845800449e+04	2.6617517158e-14
9.3854711423e+04	2.6668111711e-14
9.3863725582e+04	2.6521267017e-14
9.3872844119e+04	2.6572460808e-14
9.3882068244e+04	2.6621453683e-14
9.3891399180e+04	2.6474301256e-14
9.3900838162e+04	2.6521596067e-14
9.3910386443e+04	2.6566317116e-14
9.3920045288e+04	2.6417317767e-14
9.3929815977e+04	2.6463407175e-14
9.3939699805e+04	2.6506814336e-14
