E	J	a
190	25	0.21847373931320807
190	30	0.14689838864980523
190	35	0.023578258022253735
190	40	0.1903762744294154
190	45	0.20564234201346995
190	50	0.0369211920212877
190	55	0.011786802078074253
190	60	0.1405241165583399
190	65	0.30481347933231456
190	70	0.29657657127011017
190	75	0.06399670739616561
190	80	0.07840785848553235
190	85	0.426089957558726
190	90	0.08978456269253524
190	95	0.31190898400849826
190	100	0.2366573429237283
190	105	0.4315191072285525
190	110	0.04624621483941245
190	115	0.7189062806276947
190	120	0.5964023989784483
190	125	0.09218733597214059
190	130	0.020430204527585923
190	135	0.1559520404478039
190	140	0.15320657954097042
190	145	5.325666469167965e-05
190	150	1.0968356263978503
190	155	5.242781994527805
190	160	1.1666439850170667
190	165	35.9841513754864
190	170	134.68762017453798
190	175	261.30989969771275
190	180	401.3906635061352
190	185	550.0217143730852
190	190	705.222541016427
190	195	866.0616488949274
200	0	1.2576011546532881
200	5	0.8366779578610016
200	10	0.037368604305541446
200	15	1.2580872349167833
200	20	1.1784861313322232
200	25	1.0930362390146848
200	30	1.5283931482820496
200	35	0.3150949479080404
200	40	1.4083845634482202
200	45	0.012319507649437227
200	50	0.7620445440256179
200	55	1.7886492870423811
200	60	1.919859200251846
200	65	1.1754455775614092
200	70	0.17961897213916345
200	75	0.2866186912744264
200	80	2.0446939267714477
200	85	2.3029792570195737
200	90	0.07116888512478162
200	95	2.261843739614546
200	100	1.8315282778055708
200	105	1.3629371851378689
200	110	2.303506231997127
200	115	3.0208485157378795
200	120	0.20209545627131215
200	125	4.743619886462809
200	130	5.568902412154077
200	135	2.416644293792461
200	140	0.4413621442087565
200	145	0.04901284966784398
200	150	0.2631667341795652
200	155	3.470170380418574
200	160	18.245285957501753
200	165	28.40315762726655
200	170	0.03417997135274914
200	175	150.1460321872308
200	180	765.6771940880215
200	185	1639.980950566839
200	190	2627.9134247775924
200	195	3682.9255852434803
210	0	0.14981368859667984
210	5	0.06380520360766714
210	10	0.048287660163495644
210	15	0.16660468654493987
210	20	0.2249063299891241
210	25	0.1988808276106715
210	30	0.256139562920969
210	35	0.09227967802791659
210	40	0.16628787606314305
210	45	0.026233115580121275
210	50	0.2575204313072028
210	55	0.30577122146746255
210	60	0.1902420853738195
210	65	0.05097239950644053
210	70	0.003308213578680151
210	75	0.1417316555011215
210	80	0.38366028274439246
210	85	0.3553965434825732
210	90	0.028217610785413454
210	95	0.23749886782211674
210	100	0.4821475164713946
210	105	0.0009094928508234515
210	110	0.6239984134433921
210	115	0.003574947341780831
210	120	0.7380978764984298
