 Non-adiabatic couplings for ArHe

       R       NACME12           NACME13           NACME14           NACME15           NACME23           NACME24       NACME25           NACME34           NACME35           NACME45
     8.40   -0.03730884    1.78738173E-04    1.57152905E-13    1.13714903E-04    2.19764713E-02   -9.06004855E-11    0.01921518   -7.56643704E-10   -3.79946312E-03    4.65986631E-10
     8.60   -0.03730561    1.46998867E-04    1.62066483E-14    9.33837204E-05    2.20593243E-02    2.15552228E-10    0.01924370   -2.22243615E-10   -3.04109130E-03    7.52374105E-12
     8.80   -0.03730309    1.20283317E-04    1.21662542E-14    7.63178287E-05    2.21223024E-02   -9.11945995E-11    0.01926461   -2.52334379E-09   -2.42753273E-03   -3.80308432E-11
     9.00   -0.03730116    9.79550133E-05    2.17219987E-13    6.20866006E-05    2.21700707E-02   -1.72802625E-13    0.01927984   -1.83862004E-09   -1.93261593E-03    1.25259286E-11
     9.20   -0.03729968    7.94173682E-05    1.45486382E-13    5.02934924E-05    2.22062089E-02   -9.10678920E-11    0.01929087   -3.41007543E-10   -1.53453681E-03    1.63232132E-11
     9.40   -0.03729856    6.41248415E-05   -2.43161878E-13    4.05788407E-05    2.22334668E-02    2.85360068E-10    0.01929878   -8.13176572E-10   -1.21525879E-03   -1.29090537E-11
     9.60   -0.03729772    5.15848190E-05   -1.81528916E-12    3.26231470E-05    2.22539542E-02    8.50853158E-12    0.01930439   -5.17055073E-10   -9.59916226E-04   -3.07876685E-11
     9.80   -0.03729710    4.13603257E-05   -1.36096799E-12    2.61419706E-05    2.22692911E-02   -4.99749843E-13    0.01930830   -3.97616871E-10   -7.56326817E-04    2.04789408E-11
    10.00   -0.03729664    3.30662509E-05   -1.09314581E-13    2.08888819E-05    2.22807264E-02   -2.51598019E-10    0.01931100    4.54409640E-10   -5.94498314E-04   -2.68096162E-12
    10.50   -0.03729615    1.93094000E-05   -1.65454000E-14    1.21842000E-05    2.23000000E-02   -1.82490000E-10    0.01931000    3.47838000E-11   -3.34803000E-04    1.73022000E-12
    11.00   -0.03729566    1.04624209E-05   -5.48739328E-14    6.59034963E-06    2.23059808E-02   -1.71161225E-10    0.01931544   -5.91605935E-10   -1.73596574E-04   -8.50562123E-12
