E, K	sigma(1s5_2), cm2	sigma(1s5_1), cm2	sigma(1s5_0), cm2	sigma(1s4_1), cm2	sigma(1s4_0), cm2	sigma(1s3_0), cm2	sigma(1s2_1), cm2	sigma(1s2_0), cm2
3,992138E+03	1,533295E-14	1,587498E-14	1,605222E-14	1,580516E-14	1,609956E-14	1,570181E-14	1,683840E-14	1,663120E-14
4,180281E+03	1,526590E-14	1,580499E-14	1,598110E-14	1,573476E-14	1,602731E-14	1,563306E-14	1,675882E-14	1,655378E-14
4,377292E+03	1,519870E-14	1,573550E-14	1,590971E-14	1,566297E-14	1,595542E-14	1,556372E-14	1,667943E-14	1,647453E-14
4,583587E+03	1,513053E-14	1,566476E-14	1,583821E-14	1,559145E-14	1,588213E-14	1,549327E-14	1,659992E-14	1,639657E-14
4,799605E+03	1,506144E-14	1,559356E-14	1,576590E-14	1,551995E-14	1,580770E-14	1,542332E-14	1,651990E-14	1,631646E-14
5,025803E+03	1,499286E-14	1,552083E-14	1,569218E-14	1,544650E-14	1,573443E-14	1,535258E-14		1,623729E-14
5,262662E+03	1,492325E-14	1,544904E-14	1,561963E-14	1,537296E-14	1,565886E-14	1,528103E-14		1,615682E-14
5,510684E+03	1,485303E-14	1,537576E-14	1,554571E-14	1,530047E-14	1,558447E-14	1,520871E-14		1,607606E-14
5,770394E+03	1,478232E-14	1,530239E-14		1,522592E-14	1,550868E-14	1,513714E-14		1,599642E-14
6,042345E+03	1,471165E-14	1,522837E-14		1,515110E-14	1,543241E-14	1,506402E-14		1,591457E-14
6,327112E+03	1,463994E-14	1,515396E-14		1,507587E-14	1,535591E-14	1,499008E-14		1,583187E-14
6,625299E+03	1,456763E-14			1,500020E-14	1,527912E-14	1,491551E-14		1,574857E-14
6,937540E+03	1,449418E-14			1,492336E-14	1,520089E-14	1,484189E-14		1,566595E-14
7,264496E+03	1,442149E-14			1,484665E-14		1,476732E-14		1,558219E-14
7,606861E+03	1,434685E-14							1,549815E-14
7,965362E+03	1,427186E-14							1,541309E-14
8,340758E+03	1,419659E-14							1,532876E-14
8,733845E+03	1,412143E-14							
