State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	
9.356180e+04	1.761550e-14	1.057126e+05	3.357980e-14	1.058693e+05	3.425487e-14	1.064223e+05	3.859400e-14	1.074044e+05	2.481876e-14
9.358469e+04	1.756252e-14	1.057355e+05	3.347485e-14	1.058922e+05	3.410111e-14	1.064452e+05	3.843777e-14	1.074273e+05	2.468967e-14
9.360865e+04	1.750952e-14	1.057595e+05	3.427156e-14	1.059161e+05	3.394681e-14	1.064692e+05	3.827851e-14	1.074512e+05	2.455978e-14
9.363374e+04	1.745558e-14	1.057846e+05	3.441793e-14	1.059412e+05	3.379132e-14	1.064943e+05	3.811646e-14	1.074763e+05	2.443047e-14
9.366001e+04	1.740299e-14	1.058109e+05	3.331388e-14	1.059675e+05	3.364555e-14	1.065205e+05	3.799654e-14	1.075026e+05	2.429910e-14
9.368753e+04	1.734770e-14	1.058384e+05	3.222656e-14	1.059950e+05	3.348894e-14	1.065481e+05	3.782873e-14	1.075301e+05	2.416880e-14
9.371633e+04	1.729203e-14	1.058672e+05	3.235025e-14	1.060238e+05	3.333229e-14	1.065769e+05	3.765939e-14	1.075589e+05	2.403897e-14
9.374650e+04	1.723550e-14	1.058973e+05	3.338143e-14	1.060540e+05	3.317420e-14	1.066070e+05	3.748872e-14	1.075891e+05	2.390709e-14
9.377809e+04	1.717980e-14	1.059289e+05	3.413957e-14	1.060856e+05	3.301503e-14	1.066386e+05	3.731690e-14	1.076207e+05	2.377655e-14
9.381116e+04	1.712412e-14	1.059620e+05	3.383646e-14	1.061187e+05	3.286504e-14	1.066717e+05	3.717639e-14	1.076538e+05	2.364457e-14
9.384580e+04	1.706755e-14	1.059966e+05	3.262041e-14	1.061533e+05	3.270431e-14	1.067063e+05	3.700184e-14	1.076884e+05	2.351461e-14
9.388207e+04	1.701096e-14	1.060329e+05	3.130648e-14	1.061896e+05	3.255623e-14	1.067426e+05	3.685367e-14	1.077247e+05	2.338235e-14
9.392005e+04	1.695355e-14	1.060709e+05	3.064813e-14	1.062275e+05	3.239005e-14	1.067806e+05	3.667689e-14	1.077626e+05	2.325048e-14
9.395981e+04	1.689628e-14	1.061107e+05	3.092012e-14	1.062673e+05	3.223907e-14	1.068203e+05	3.652349e-14	1.078024e+05	2.311841e-14
9.400145e+04	1.683845e-14	1.061523e+05	3.183655e-14	1.063089e+05	3.209656e-14	1.068620e+05	3.636653e-14	1.078440e+05	2.298696e-14
9.404506e+04	1.677915e-14	1.061959e+05	3.282443e-14	1.063525e+05	3.192423e-14	1.069056e+05	3.618752e-14	1.078876e+05	2.285370e-14
9.409072e+04	1.672052e-14	1.062416e+05	3.336533e-14	1.063982e+05	3.175494e-14	1.069512e+05	3.602775e-14	1.079333e+05	2.271936e-14
9.413853e+04	1.666158e-14	1.062894e+05	3.318940e-14	1.064460e+05	3.161567e-14	1.069991e+05	3.586565e-14	1.079811e+05	2.258789e-14
9.418859e+04	1.660236e-14	1.063394e+05	3.235113e-14	1.064961e+05	3.148311e-14	1.070491e+05	3.570152e-14	1.080312e+05	2.245944e-14
9.424101e+04	1.654276e-14	1.063919e+05	3.113881e-14	1.065485e+05	3.131829e-14	1.071015e+05	3.553568e-14	1.080836e+05	2.232811e-14
9.429591e+04	1.648211e-14	1.064467e+05	2.993069e-14	1.066034e+05	3.112595e-14	1.071564e+05	3.536925e-14	1.081385e+05	2.219325e-14
9.435339e+04	1.642156e-14	1.065042e+05	2.905194e-14	1.066609e+05	3.095079e-14	1.072139e+05	3.520196e-14	1.081960e+05	2.205456e-14
9.441358e+04	1.636095e-14	1.065644e+05	2.869674e-14	1.067211e+05	3.081484e-14	1.072741e+05	3.503324e-14	1.082562e+05	2.191614e-14
9.447660e+04	1.629819e-14	1.066274e+05	2.888400e-14	1.067841e+05	3.070243e-14	1.073371e+05	3.486301e-14	1.083192e+05	2.178568e-14
9.454260e+04	1.623719e-14	1.066934e+05	2.949814e-14	1.068501e+05	3.057594e-14	1.074031e+05	3.470406e-14	1.083852e+05	2.166183e-14
9.461171e+04	1.617429e-14	1.067625e+05	3.032818e-14	1.069192e+05	3.040369e-14	1.074722e+05	3.453310e-14	1.084543e+05	2.154169e-14
9.468407e+04	1.611164e-14	1.068349e+05	3.114909e-14	1.069916e+05	3.019673e-14	1.075446e+05	3.437069e-14	1.085267e+05	2.141710e-14
9.475984e+04	1.604818e-14	1.069107e+05	3.175632e-14	1.070673e+05	2.998473e-14	1.076204e+05	3.419744e-14	1.086024e+05	2.128465e-14
9.483919e+04	1.598509e-14	1.069900e+05	3.201857e-14	1.071467e+05	2.980544e-14	1.076997e+05	3.403276e-14	1.086818e+05	2.114112e-14
9.492227e+04	1.592169e-14	1.070731e+05	3.187992e-14	1.072298e+05	2.967304e-14	1.077828e+05	3.386706e-14	1.087649e+05	2.099037e-14
9.500927e+04	1.585714e-14	1.071601e+05	3.136065e-14	1.073168e+05	2.957836e-14	1.078698e+05	3.369303e-14	1.088519e+05	2.084250e-14
